Wall time,Step,Value
1737897419.385172,49,1.2250000054336851e-06
1737897457.0116282,99,2.474999973856029e-06
1737897494.586664,149,3.724999942278373e-06
1737897532.3291898,199,4.9750001380743925e-06
1737897569.895081,249,6.225000106496736e-06
1737897607.532927,299,7.47500007491908e-06
1737897645.164365,349,8.725000043341424e-06
1737897683.043425,399,9.974999557016417e-06
1737897720.7853482,449,1.1224999980186112e-05
1737897758.405535,499,1.2475000403355807e-05
1737897796.141663,549,1.37249999170308e-05
1737897833.855057,599,1.4975000340200495e-05
1737897871.540954,649,1.6224999853875488e-05
1737897909.153472,699,1.7475000277045183e-05
1737897946.9509041,749,1.8725000700214878e-05
1737897984.695649,799,1.997499930439517e-05
1737898022.3737228,849,2.1224999727564864e-05
1737898059.58022,899,2.247500015073456e-05
1737898096.927566,949,2.3725000573904254e-05
1737898134.275276,999,2.4974999178084545e-05
1737898171.677724,1049,2.622499960125424e-05
1737898209.094765,1099,2.7475000024423935e-05
1737898246.37527,1149,2.872500044759363e-05
1737898283.671615,1199,2.9975000870763324e-05
1737898321.018757,1249,3.122500129393302e-05
1737898358.310101,1299,3.247499989811331e-05
1737898395.765685,1349,3.37249985022936e-05
1737898433.172781,1399,3.49750007444527e-05
1737898470.610941,1449,3.622499934863299e-05
1737898507.868489,1499,3.747500159079209e-05
1737898545.220321,1549,3.872500019497238e-05
1737898582.591302,1599,3.997499879915267e-05
1737898619.834823,1649,4.122500104131177e-05
1737898657.179498,1699,4.247499964549206e-05
1737898694.601968,1749,4.372499824967235e-05
1737898731.897155,1799,4.497500049183145e-05
1737898769.1291552,1849,4.622499909601174e-05
1737898806.554493,1899,4.747500133817084e-05
1737898843.8558478,1949,4.872499994235113e-05
1737898881.316273,1999,4.9974998546531424e-05
1737898918.696707,2049,5.122500078869052e-05
1737898956.0397902,2099,5.2474999392870814e-05
1737898993.360898,2149,5.372500163502991e-05
1737899030.905395,2199,5.49750002392102e-05
1737899068.441275,2249,5.6224998843390495e-05
1737899105.7351491,2299,5.747500108554959e-05
1737899143.161228,2349,5.8724999689729884e-05
1737899180.436748,2399,5.9974998293910176e-05
1737899217.861782,2449,6.122500053606927e-05
1737899255.140619,2499,6.247500277822837e-05
1737899292.496319,2549,6.372499774442986e-05
1737899329.8747,2599,6.497499998658895e-05
1737899367.1921642,2649,6.622500222874805e-05
1737899404.488301,2699,6.747499719494954e-05
1737899441.762444,2749,6.872499943710864e-05
1737899479.080789,2799,6.997500167926773e-05
1737899516.2949262,2849,7.122499664546922e-05
1737899553.559516,2899,7.247499888762832e-05
1737899590.88181,2949,7.372500112978742e-05
1737899628.309878,2999,7.497500337194651e-05
1737899706.631982,3049,7.6224998338148e-05
1737899743.986509,3099,7.74750005803071e-05
1737899781.415211,3149,7.87250028224662e-05
1737899818.831179,3199,7.997499778866768e-05
1737899856.071433,3249,8.122500003082678e-05
1737899893.4352808,3299,8.247500227298588e-05
1737899930.856935,3349,8.372499723918736e-05
1737899968.100488,3399,8.497499948134646e-05
1737900005.61585,3449,8.622500172350556e-05
1737900042.938365,3499,8.747499668970704e-05
1737900080.870093,3549,8.872499893186614e-05
1737900119.659501,3599,8.997500117402524e-05
1737900157.294773,3649,9.122500341618434e-05
1737900195.0553112,3699,9.247499838238582e-05
1737900232.838321,3749,9.372500062454492e-05
1737900271.48618,3799,9.497500286670402e-05
1737900309.581868,3849,9.62249978329055e-05
1737900347.2916899,3899,9.74750000750646e-05
1737900385.0768378,3949,9.87250023172237e-05
1737900422.833183,3999,9.997499728342518e-05
1737900460.558791,4049,9.93930734694004e-05
1737900498.570503,4099,9.878500713966787e-05
1737900536.576212,4149,9.818797116167843e-05
1737900574.485072,4199,9.760163084138185e-05
1737900613.3486981,4249,9.702566603664309e-05
1737900651.3697011,4299,9.645977843319997e-05
1737900689.7370088,4349,9.590368426870555e-05
1737900727.654162,4399,9.535709250485525e-05
1737900766.000405,4449,9.481974848313257e-05
1737900804.5299861,4499,9.42913829931058e-05
1737900843.352486,4549,9.377174865221605e-05
1737900882.139665,4599,9.326061990577728e-05
1737900920.066713,4649,9.275775664718822e-05
1737900957.991277,4699,9.226293332176283e-05
1737900996.301161,4749,9.177595347864553e-05
1737901034.809171,4799,9.129660611506552e-05
1737901073.67835,4849,9.082468750420958e-05
1737901112.636278,4899,9.036000847117975e-05
1737901151.156079,4949,8.99023943929933e-05
1737901189.309691,4999,8.945166337070987e-05
1737901227.764462,5049,8.900764805730432e-05
1737901266.137485,5099,8.857017382979393e-05
1737901303.690274,5149,8.813908789306879e-05
1737901340.9926558,5199,8.7714237452019e-05
1737901378.6977332,5249,8.729546971153468e-05
1737901416.0401049,5299,8.688264642842114e-05
1737901453.249999,5349,8.64756220835261e-05
1737901490.823752,5399,8.607426570961252e-05
1737901528.0552042,5449,8.567844633944333e-05
1737901565.499039,5499,8.528804028173909e-05
1737901602.8319309,5549,8.490292384522036e-05
1737901640.5565388,5599,8.45229733386077e-05
1737901678.3675148,5649,8.41480796225369e-05
1737901715.762746,5699,8.377813355764374e-05
