Wall time,Step,Value
1737974291.054584,12100,7.850172996520996
1737985802.525148,24201,5.028842449188232
1737997517.176339,36302,4.75872278213501
1738009359.683011,48403,4.608950138092041
1738020954.37098,60504,4.508605480194092
1738032462.859029,72605,4.432963848114014
1738043965.7933152,84706,4.373167037963867
1738055522.516028,96807,4.322771072387695
1738067025.629048,108908,4.277932167053223
1738078547.0753531,121009,4.238785743713379
1738090347.054877,133110,4.202846527099609
1738102708.572272,145211,4.170426845550537
1738114359.308255,157312,4.139827251434326
1738125871.048695,169413,4.1125993728637695
1738137479.615623,181514,4.086208820343018
